<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	1.10411	1.10439	1.09372	1.09402	82425	0	14
2024.01.03	1.09411	1.09648	1.08923	1.09201	88830	0	14
2024.01.04	1.09199	1.09714	1.09139	1.09431	79127	0	14
2024.01.05	1.09450	1.09976	1.08760	1.09397	100541	0	15
2024.01.08	1.09389	1.09779	1.09218	1.09488	68208	0	15
2024.01.09	1.09486	1.09655	1.09096	1.09297	77537	0	15
2024.01.10	1.09297	1.09717	1.09219	1.09711	67107	0	15
2024.01.11	1.09673	1.09899	1.09295	1.09707	97750	0	15
2024.01.12	1.09689	1.09861	1.09351	1.09476	80742	0	15
2024.01.15	1.09444	1.09666	1.09327	1.09469	46632	0	15
2024.01.16	1.09469	1.09500	1.08611	1.08737	96351	0	15
2024.01.17	1.08696	1.08836	1.08437	1.08801	84958	0	15
2024.01.18	1.08795	1.09060	1.08458	1.08745	83452	0	15
2024.01.19	1.08719	1.08965	1.08648	1.08960	72499	0	15
2024.01.22	1.08895	1.09087	1.08791	1.08809	64466	0	15
2024.01.23	1.08813	1.09154	1.08207	1.08530	72804	0	15
2024.01.24	1.08535	1.09315	1.08463	1.08831	84648	0	15
2024.01.25	1.08817	1.09011	1.08208	1.08447	87941	0	15
2024.01.26	1.08396	1.08848	1.08121	1.08497	73749	0	15
2024.01.29	1.08403	1.08493	1.07951	1.08313	62194	0	15
2024.01.30	1.08307	1.08565	1.08111	1.08442	75480	0	15
2024.01.31	1.08378	1.08865	1.07941	1.08166	115727	0	15
2024.02.01	1.08167	1.08740	1.07790	1.08701	104357	0	15
2024.02.02	1.08703	1.08967	1.07795	1.07847	91791	0	15
2024.02.05	1.07804	1.07853	1.07223	1.07412	77998	0	15
2024.02.06	1.07388	1.07616	1.07217	1.07519	77720	0	15
2024.02.07	1.07518	1.07831	1.07482	1.07704	74120	0	15
2024.02.08	1.07693	1.07880	1.07407	1.07761	71261	0	15
2024.02.09	1.07757	1.07944	1.07612	1.07834	76088	0	15
2024.02.12	1.07770	1.08047	1.07550	1.07704	65233	0	15
2024.02.13	1.07699	1.07949	1.06997	1.07075	87026	0	15
2024.02.14	1.07073	1.07336	1.06941	1.07251	77676	0	15
2024.02.15	1.07240	1.07840	1.07232	1.07708	78811	0	15
2024.02.16	1.07711	1.07866	1.07311	1.07751	81769	0	15
2024.02.19	1.07706	1.07886	1.07613	1.07773	41086	0	15
2024.02.20	1.07774	1.08380	1.07609	1.08061	78136	0	15
2024.02.21	1.08040	1.08235	1.07892	1.08171	75375	0	15
2024.02.22	1.08149	1.08875	1.08018	1.08213	80328	0	15
2024.02.23	1.08213	1.08386	1.08109	1.08182	68697	0	15
2024.02.26	1.08241	1.08588	1.08117	1.08495	53975	0	15
2024.02.27	1.08492	1.08650	1.08321	1.08427	60584	0	15
2024.02.28	1.08411	1.08451	1.07958	1.08366	67971	0	15
2024.02.29	1.08344	1.08550	1.07950	1.08038	84318	0	15
2024.03.01	1.08011	1.08423	1.07973	1.08378	71518	0	15
2024.03.04	1.08352	1.08659	1.08338	1.08543	58272	0	15
2024.03.05	1.08542	1.08750	1.08393	1.08551	60439	0	15
2024.03.06	1.08546	1.09145	1.08414	1.08972	66596	0	15
2024.03.07	1.08972	1.09482	1.08669	1.09467	69515	0	15
2024.03.08	1.09466	1.09804	1.09172	1.09362	79433	0	15
2024.03.11	1.09385	1.09472	1.09137	1.09244	50900	0	15
2024.03.12	1.09243	1.09432	1.09012	1.09254	65064	0	15
2024.03.13	1.09256	1.09629	1.09193	1.09469	53420	0	15
2024.03.14	1.09469	1.09538	1.08799	1.08843	66937	0	15
2024.03.15	1.08846	1.08988	1.08722	1.08872	52259	0	15
2024.03.18	1.08864	1.09053	1.08652	1.08716	40792	0	15
2024.03.19	1.08722	1.08757	1.08339	1.08641	54269	0	15
2024.03.20	1.08640	1.09219	1.08356	1.09185	61862	0	15
2024.03.21	1.09181	1.09416	1.08546	1.08593	67962	0	15
2024.03.22	1.08607	1.08672	1.08009	1.08050	53085	0	15
2024.03.25	1.08046	1.08416	1.08012	1.08353	44637	0	15
2024.03.26	1.08352	1.08635	1.08234	1.08305	50671	0	15
2024.03.27	1.08305	1.08383	1.08099	1.08253	45511	0	15
2024.03.28	1.08253	1.08258	1.07742	1.07872	59005	0	15
2024.03.29	1.07873	1.08047	1.07671	1.07909	32793	0	15
2024.04.01	1.07853	1.07981	1.07301	1.07417	46279	0	15
2024.04.02	1.07416	1.07781	1.07237	1.07673	58259	0	15
2024.04.03	1.07680	1.08359	1.07631	1.08345	54705	0	15
