<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.10411	1.10420	1.10410	1.10419	21	0	54
2024.01.02	00:15:00	1.10410	1.10426	1.10410	1.10419	16	0	47
2024.01.02	00:30:00	1.10420	1.10424	1.10411	1.10423	33	0	32
2024.01.02	00:45:00	1.10421	1.10433	1.10419	1.10430	55	0	32
2024.01.02	01:00:00	1.10434	1.10439	1.10376	1.10377	230	0	14
2024.01.02	01:15:00	1.10377	1.10378	1.10364	1.10372	185	0	14
2024.01.02	01:30:00	1.10371	1.10378	1.10356	1.10360	315	0	14
2024.01.02	01:45:00	1.10358	1.10367	1.10349	1.10359	338	0	14
2024.01.02	02:00:00	1.10359	1.10373	1.10359	1.10365	339	0	14
2024.01.02	02:15:00	1.10365	1.10367	1.10335	1.10340	234	0	14
2024.01.02	02:30:00	1.10339	1.10353	1.10337	1.10349	159	0	14
2024.01.02	02:45:00	1.10350	1.10377	1.10349	1.10374	443	0	14
2024.01.02	03:00:00	1.10372	1.10427	1.10368	1.10380	778	0	14
2024.01.02	03:15:00	1.10380	1.10425	1.10380	1.10387	656	0	14
2024.01.02	03:30:00	1.10385	1.10390	1.10360	1.10375	654	0	14
2024.01.02	03:45:00	1.10376	1.10393	1.10336	1.10341	460	0	14
2024.01.02	04:00:00	1.10341	1.10352	1.10307	1.10310	389	0	14
2024.01.02	04:15:00	1.10311	1.10311	1.10254	1.10254	324	0	14
2024.01.02	04:30:00	1.10256	1.10262	1.10215	1.10229	522	0	14
2024.01.02	04:45:00	1.10230	1.10234	1.10176	1.10182	482	0	14
2024.01.02	05:00:00	1.10182	1.10229	1.10172	1.10217	320	0	14
2024.01.02	05:15:00	1.10216	1.10234	1.10199	1.10206	320	0	14
2024.01.02	05:30:00	1.10210	1.10225	1.10200	1.10224	369	0	14
2024.01.02	05:45:00	1.10226	1.10241	1.10225	1.10238	325	0	14
2024.01.02	06:00:00	1.10239	1.10243	1.10201	1.10218	330	0	14
2024.01.02	06:15:00	1.10218	1.10218	1.10184	1.10186	218	0	14
2024.01.02	06:30:00	1.10187	1.10199	1.10166	1.10169	414	0	14
2024.01.02	06:45:00	1.10168	1.10204	1.10159	1.10203	299	0	14
2024.01.02	07:00:00	1.10201	1.10245	1.10201	1.10244	331	0	14
2024.01.02	07:15:00	1.10243	1.10275	1.10239	1.10258	352	0	14
2024.01.02	07:30:00	1.10258	1.10296	1.10258	1.10294	300	0	14
2024.01.02	07:45:00	1.10296	1.10328	1.10286	1.10326	398	0	14
2024.01.02	08:00:00	1.10326	1.10336	1.10310	1.10315	288	0	14
2024.01.02	08:15:00	1.10315	1.10331	1.10294	1.10313	275	0	14
2024.01.02	08:30:00	1.10314	1.10341	1.10302	1.10329	460	0	14
2024.01.02	08:45:00	1.10330	1.10345	1.10262	1.10280	467	0	14
2024.01.02	09:00:00	1.10282	1.10304	1.10239	1.10274	969	0	14
2024.01.02	09:15:00	1.10275	1.10370	1.10270	1.10364	756	0	14
2024.01.02	09:30:00	1.10363	1.10373	1.10291	1.10293	783	0	14
2024.01.02	09:45:00	1.10293	1.10307	1.10145	1.10147	1569	0	14
2024.01.02	10:00:00	1.10147	1.10381	1.10146	1.10323	2066	0	14
2024.01.02	10:15:00	1.10322	1.10334	1.10269	1.10282	1249	0	14
2024.01.02	10:30:00	1.10281	1.10324	1.10272	1.10288	1151	0	14
2024.01.02	10:45:00	1.10288	1.10323	1.10246	1.10287	1124	0	14
2024.01.02	11:00:00	1.10288	1.10357	1.10282	1.10342	1133	0	14
2024.01.02	11:15:00	1.10342	1.10372	1.10324	1.10325	988	0	14
2024.01.02	11:30:00	1.10325	1.10343	1.10182	1.10190	1108	0	14
2024.01.02	11:45:00	1.10186	1.10193	1.10100	1.10145	1213	0	14
2024.01.02	12:00:00	1.10142	1.10163	1.09964	1.09993	1088	0	14
2024.01.02	12:15:00	1.09993	1.10049	1.09988	1.10033	1033	0	14
2024.01.02	12:30:00	1.10031	1.10095	1.10021	1.10090	1071	0	14
2024.01.02	12:45:00	1.10089	1.10104	1.10022	1.10064	1070	0	14
2024.01.02	13:00:00	1.10065	1.10070	1.09886	1.09889	1265	0	14
2024.01.02	13:15:00	1.09892	1.09914	1.09778	1.09797	1452	0	14
2024.01.02	13:30:00	1.09795	1.09795	1.09697	1.09703	1442	0	14
2024.01.02	13:45:00	1.09702	1.09722	1.09660	1.09684	1142	0	14
2024.01.02	14:00:00	1.09682	1.09712	1.09672	1.09686	1079	0	14
2024.01.02	14:15:00	1.09685	1.09688	1.09605	1.09649	1071	0	14
2024.01.02	14:30:00	1.09650	1.09674	1.09573	1.09601	1123	0	14
2024.01.02	14:45:00	1.09600	1.09627	1.09530	1.09533	1255	0	14
2024.01.02	15:00:00	1.09533	1.09580	1.09528	1.09572	1602	0	14
2024.01.02	15:15:00	1.09571	1.09615	1.09512	1.09572	1650	0	14
2024.01.02	15:30:00	1.09573	1.09643	1.09564	1.09637	1648	0	14
2024.01.02	15:45:00	1.09636	1.09640	1.09486	1.09516	1656	0	14
2024.01.02	16:00:00	1.09519	1.09567	1.09443	1.09455	1866	0	14
2024.01.02	16:15:00	1.09454	1.09531	1.09441	1.09513	1579	0	14
